"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"221747_at",-1.3324765920953,10.2165720368106,-7.40682628526831,5.8512126496384e-11,1.43277551068014e-08,14.6784095448474
"209298_s_at",-2.41481938948469,8.1772848180651,-7.40080450097462,6.02036874780486e-11,1.45817257399278e-08,14.6509194545653
"209612_s_at",-1.96689288327519,10.9733285476786,-7.38658748624353,6.43925846200476e-11,1.542860175364e-08,14.586038187047
"217414_x_at",-1.80799371780611,8.0390951302587,-7.37993255099539,6.64516694545921e-11,1.57525803240072e-08,14.5556776535952
"222351_at",-1.59823019350339,8.49269550732283,-7.37132156835491,6.92133300535603e-11,1.62345329850893e-08,14.5164031009797
"206488_s_at",-1.67390758690663,11.1316740437417,-7.35782238932716,7.37738947043784e-11,1.7123996830184e-08,14.4548556817749
"209458_x_at",-2.5105721114828,9.39504148169286,-7.34131161623252,7.975950320858e-11,1.83224846391421e-08,14.3796143935738
"209496_at",-2.17508547815098,9.26190294719072,-7.33664427197484,8.15373399428912e-11,1.85397606729331e-08,14.3583522691458
"218186_at",1.88547780911384,8.18592573081118,7.32404451305617,8.65356976855695e-11,1.94775247629045e-08,14.3009704667298
"212886_at",-2.30763207247276,7.01133198003587,-7.32041253725323,8.80322083693957e-11,1.96162169909525e-08,14.2844342196435
"205498_at",-1.07591481344037,10.7553648168588,-7.3103485031665,9.23146059924237e-11,2.03667956963285e-08,14.2386236175445
"201690_s_at",1.23087745801649,10.3519939170163,7.29291024483203,1.00230247017326e-10,2.18963783753636e-08,14.1592831819827
"212281_s_at",2.29143280232334,7.28074611148937,7.25071428026614,1.2228350589185e-10,2.64547899202727e-08,13.967497317038
"203917_at",1.40712065745447,9.08670542956132,7.21904834309163,1.41939694997407e-10,3.0411944457954e-08,13.8237583421509
"209512_at",-1.47978691554982,8.31324133977556,-7.20496220888689,1.51662568247488e-10,3.21856857929407e-08,13.7598705033537
"204042_at",-1.00322494743046,11.0528814308375,-7.16939864493498,1.79251971359524e-10,3.76818082811723e-08,13.5987173923771
"210715_s_at",1.50803186629092,9.32352502536875,7.16396463337494,1.8388524280436e-10,3.82945314524257e-08,13.5741122674555
"209616_s_at",-1.60420553027443,7.73480900390084,-7.11162289518426,2.350665924861e-10,4.76180807306161e-08,13.3373670835158
"210078_s_at",-1.25073952492448,6.45885066942406,-7.09780387489222,2.50791605970487e-10,5.03458500526158e-08,13.274941680004
"216894_x_at",-1.41809129672758,8.11387381387258,-7.07993712783691,2.72678687928593e-10,5.42508857420788e-08,13.1942809644199
